,amount,amount,amount
CUST09717,250151.41999999998,1337.7081283422458,187
CUST01641,263643.32,1311.6583084577114,201
CUST07419,296003.54,1450.997745098039,204
CUST05757,243615.16,1331.2303825136612,183
CUST01108,280262.49,1437.2435384615385,195
CUST03976,261775.5,1377.7657894736842,190
CUST04139,304183.57,1382.652590909091,220
CUST04660,276142.3,1249.5126696832579,221
CUST02609,287809.92,1410.8329411764705,204
CUST01654,302630.19,1407.5822790697675,215
CUST05482,265426.2,1217.5513761467892,218
CUST07096,284570.11,1505.6619576719577,189
CUST08809,242402.07,1296.2677540106952,187
CUST05552,272817.42,1420.9240625,192
CUST01995,276350.11,1417.1800512820512,195
CUST02404,281780.99,1354.716298076923,208
CUST07221,279900.37,1339.2362200956939,209
CUST07799,263969.45,1374.8408854166667,192
CUST01522,309764.91,1420.9399541284401,218
CUST07010,295631.82,1368.6658333333335,216
CUST07430,249618.6,1293.360621761658,193
CUST04863,298840.1,1479.4064356435642,202
CUST02492,272379.28,1341.7698522167489,203
CUST08586,305535.2,1550.9401015228427,197
CUST09417,264073.99,1347.316275510204,196
CUST08789,237319.84,1474.0362732919255,161
CUST03673,228312.67,1227.4874731182797,186
CUST04471,295265.13,1366.9681944444444,216
CUST02905,256905.63,1278.1374626865672,201
CUST01367,274595.27,1320.1695673076924,208
CUST08522,259926.4,1306.1628140703517,199
CUST01008,265146.18,1345.919695431472,197
CUST04495,285717.86,1472.772474226804,194
CUST08986,265078.51,1373.4637823834198,193
CUST04173,251157.62,1357.6087567567567,185
CUST05559,315672.83,1496.0797630331754,211
CUST03403,287305.4,1473.3610256410257,195
CUST05399,246159.06,1390.729152542373,177
CUST02851,280167.72,1340.5154066985644,209
CUST06438,242752.99,1291.2393085106382,188
CUST01567,288795.67,1544.361871657754,187
CUST05715,288798.97000000003,1451.2511055276384,199
CUST04922,288484.39,1380.308086124402,209
CUST09256,281915.04,1460.699689119171,193
CUST08519,279554.58,1383.9335643564357,202
CUST09653,297133.67,1369.2795852534562,217
CUST05643,317137.33,1448.1156621004568,219
CUST01639,314519.83,1349.8705150214594,233
CUST06238,264490.75,1277.7330917874397,207
CUST08680,271339.57,1267.9419158878504,214
CUST05942,280186.23,1353.5566666666666,207
CUST01935,277968.64,1440.2520207253888,193
CUST05453,298851.5,1377.1958525345622,217
CUST01188,260027.62,1354.3105208333334,192
CUST01372,296679.1,1342.439366515837,221
CUST02154,248900.45,1331.018449197861,187
CUST06830,273338.14,1408.9594845360825,194
CUST08368,296502.16,1460.6017733990147,203
CUST03515,257111.29,1428.3960555555557,180
CUST02375,334107.55,1553.9886046511626,215
CUST04952,306446.1,1392.9368181818181,220
CUST01498,280835.37,1397.190895522388,201
CUST01612,260917.12,1317.7632323232324,198
CUST07249,314551.07,1469.8648130841123,214
CUST00275,276617.84,1342.8050485436895,206
CUST08566,288867.27,1337.3484722222222,216
CUST04545,211642.84,1244.9578823529412,170
CUST08661,240911.52000000002,1361.082033898305,177
CUST00700,305028.12,1405.6595391705068,217
CUST00555,291126.12,1360.402429906542,214
CUST06245,266421.6,1387.6125,192
CUST08666,281663.85,1437.0604591836734,196
CUST05375,255858.61000000002,1368.2278609625669,187
CUST03675,293892.25,1399.4869047619047,210
CUST00580,303554.33,1488.0114215686276,204
CUST06522,264876.48,1298.4141176470587,204
CUST09681,306025.1,1378.4914414414413,222
CUST04725,256806.29,1403.3130601092896,183
CUST05676,343849.25,1488.5248917748918,231
CUST06097,259612.41,1285.2099504950495,202
CUST05873,296496.69,1411.8890000000001,210
CUST05291,286556.49,1290.7949999999998,222
CUST00455,233303.15,1247.6104278074865,187
CUST02277,266406.51,1312.3473399014779,203
CUST03345,295208.14,1379.4772897196262,214
CUST00474,275475.7,1505.331693989071,183
CUST06759,246601.49,1291.107277486911,191
CUST06885,296191.4,1410.4352380952382,210
CUST06583,279410.73,1390.103134328358,201
CUST06365,310343.33,1513.8699024390244,205
CUST00376,283090.32,1394.5335960591133,203
CUST00851,251219.09,1372.781912568306,183
CUST03023,260890.91,1311.0095979899497,199
CUST09642,307496.04000000004,1354.6081057268725,227
CUST02617,257429.36,1287.1468,200
CUST04552,271456.39,1343.8435148514852,202
CUST09190,321836.04000000004,1436.7680357142858,224
CUST01267,274356.18,1459.3413829787235,188
CUST01295,285779.7,1335.4191588785047,214
CUST08725,268230.51999999996,1314.8554901960783,204
CUST09887,276140.31,1353.6289705882352,204
CUST03841,298124.85,1380.2076388888888,216
CUST07483,297223.71,1382.4358604651163,215
CUST07532,246278.0,1316.9946524064171,187
CUST08098,265984.22,1297.484,205
CUST09635,253242.32,1223.3928502415458,207
CUST09138,247716.47,1310.6691534391534,189
CUST07032,333124.05,1388.016875,240
CUST07601,276448.85,1375.3674129353233,201
CUST04295,315961.5,1429.6900452488687,221
CUST08378,304025.93,1497.6646798029556,203
CUST05171,330721.73,1567.4015639810425,211
CUST03367,325307.9,1465.350900900901,222
CUST03884,305428.35,1420.596976744186,215
CUST08248,267158.63,1335.79315,200
CUST09871,293112.47000000003,1350.7487096774196,217
CUST01573,291675.61,1415.9010194174757,206
CUST04973,251059.28,1300.8252849740932,193
CUST05946,256206.88,1327.496787564767,193
CUST01060,322780.49,1447.4461434977577,223
CUST03347,282500.52,1391.6281773399016,203
CUST02177,245331.67,1258.1111282051284,195
CUST03565,256008.36000000002,1354.5415873015875,189
CUST04003,294365.59,1408.4477990430623,209
CUST03989,268736.07,1444.8175806451613,186
CUST01878,284455.75,1451.3048469387754,196
CUST07375,275028.73,1389.0339898989898,198
CUST01133,321751.53,1351.8971848739498,238
CUST08548,264749.1,1330.3974874371859,199
CUST09412,311264.13,1482.210142857143,210
CUST09111,336489.67,1609.9984210526316,209
CUST05691,258943.8,1307.7969696969697,198
CUST02823,246190.69,1302.5962433862435,189
CUST01453,254706.04,1391.8362841530054,183
CUST04637,257173.03,1305.4468527918782,197
CUST04636,260707.85,1241.4659523809523,210
CUST00002,314721.68,1437.085296803653,219
CUST04626,317732.99,1542.3931553398058,206
CUST05461,227181.09,1290.8016477272727,176
CUST06980,300418.71,1458.3432524271846,206
CUST08834,282035.91,1396.2173762376237,202
CUST01435,269943.29,1398.6698963730569,193
CUST03666,302419.21,1497.124801980198,202
CUST05862,290373.07,1430.4092118226602,203
CUST06116,262727.4,1420.1481081081083,185
CUST03784,302027.35,1452.0545673076922,208
CUST08869,308027.56,1495.2794174757282,206
CUST08115,227454.1,1307.2074712643678,174
CUST04286,272688.18,1363.4409,200
CUST03937,280598.13,1431.623112244898,196
CUST02211,316983.03,1495.2029716981133,212
CUST03283,307952.01,1406.1735616438357,219
CUST02164,265770.24,1421.231229946524,187
CUST07503,286157.25,1330.963953488372,215
CUST02360,286325.14,1453.427106598985,197
CUST00900,275829.79,1345.5111707317071,205
CUST09989,280789.51,1383.1995566502464,203
CUST01688,299736.23,1374.9368348623852,218
CUST09868,267724.86,1521.1639772727272,176
CUST01495,267531.65,1430.6505347593584,187
CUST06402,256404.47999999998,1416.5993370165745,181
CUST07550,257937.51,1409.4945901639344,183
CUST00785,274166.6,1293.2386792452828,212
CUST00576,321034.59,1573.6989705882354,204
CUST08450,309771.89,1489.2879326923078,208
CUST09020,269138.35,1573.9084795321637,171
CUST05100,252439.71,1357.2027419354838,186
CUST09053,275004.49,1297.1909905660377,212
CUST00459,248412.55,1211.7685365853658,205
CUST01836,283768.23,1351.2772857142857,210
CUST05699,237482.77,1290.6672282608695,184
CUST03865,240559.3,1336.4405555555554,180
CUST07650,300562.46,1480.603251231527,203
CUST01548,277158.48,1372.0716831683167,202
CUST09231,263476.35000000003,1372.2726562500002,192
CUST03531,272245.72,1347.7510891089107,202
CUST01448,302223.16,1452.9959615384614,208
CUST06080,298120.79000000004,1490.6039500000002,200
CUST00835,241469.26,1305.2392432432432,185
CUST05565,318565.77,1502.6687264150944,212
CUST09503,283027.77,1328.7688732394367,213
CUST08797,282222.81,1312.6642325581395,215
CUST01250,255302.99,1289.4090404040403,198
CUST08417,291641.47,1402.1224519230768,208
CUST01675,282096.06,1403.4629850746269,201
CUST02885,248056.43,1355.4996174863388,183
CUST03014,283595.27,1508.4854787234044,188
CUST07678,264308.25,1334.8901515151515,198
CUST03324,274660.71,1353.0084236453204,203
CUST01657,295985.34,1275.798879310345,232
CUST07583,290074.95,1330.6190366972478,218
CUST07654,276685.13,1418.8981025641026,195
CUST07191,300335.4,1403.436448598131,214
CUST08560,296260.44,1488.7459296482411,199
CUST08293,273893.49,1419.1372538860103,193
CUST05306,259706.32,1266.8600975609756,205
CUST05555,273932.32,1369.6616000000001,200
CUST08900,251227.87,1262.4516080402009,199
CUST02746,318495.81,1441.1575113122171,221
CUST03226,254744.29,1355.0228191489362,188
CUST02402,314658.95,1430.2679545454546,220
CUST09790,278113.12,1411.741725888325,197
CUST06030,279778.37,1378.2185714285713,203
CUST04171,247591.65,1225.7012376237624,202
CUST08996,322325.24,1419.9349779735683,227
CUST05809,300049.63,1515.4021717171718,198
CUST03654,314715.77999999997,1498.6465714285712,210
CUST04015,250989.66,1307.2378125,192
CUST06542,290254.97,1444.0545771144277,201
CUST03777,265414.97000000003,1361.1024102564104,195
CUST01840,282748.5,1359.3677884615386,208
CUST04202,312931.94,1504.4804807692308,208
CUST03846,306501.84,1502.46,204
CUST08301,278865.72,1401.3352763819094,199
CUST04276,259070.41,1415.6853005464482,183
CUST03106,283084.02,1451.712923076923,195
CUST08114,290713.22,1371.2887735849056,212
CUST00546,262592.42,1274.7204854368931,206
CUST00829,312503.12,1524.4054634146341,205
CUST02611,258858.48,1348.22125,192
CUST03236,296476.89,1405.1037440758294,211
CUST03172,292312.14,1316.7213513513514,222
CUST06114,273094.76,1300.451238095238,210
CUST03898,306167.47000000003,1471.9589903846156,208
CUST09654,225588.72,1267.352359550562,178
CUST04149,241109.56,1282.4976595744681,188
CUST09141,273265.31,1501.4577472527471,182
CUST07348,309107.32999999996,1367.731548672566,226
CUST02457,300159.62,1485.9387128712872,202
CUST06216,244565.44999999998,1222.8272499999998,200
CUST09913,314121.45,1488.7272511848341,211
CUST04974,292482.01,1311.5785201793722,223
CUST06063,265942.14,1392.3672251308901,191
CUST06607,250736.25,1355.331081081081,185
CUST06645,273657.11,1309.3641626794258,209
CUST00232,255376.08,1344.0846315789472,190
CUST01852,271341.26,1405.9132642487048,193
CUST01318,303825.01,1393.6927064220183,218
CUST05003,259308.11000000002,1303.0558291457287,199
CUST08675,223428.28,1255.2150561797753,178
CUST00366,240134.36,1305.0780434782607,184
CUST07791,304478.09,1507.3172772277228,202
CUST02316,258147.72,1426.2304972375691,181
CUST07776,305338.21,1453.9914761904763,210
CUST06615,287134.56,1360.8272985781991,211
CUST07450,299076.95,1533.7279487179487,195
CUST04581,280070.77,1393.3869154228857,201
CUST09033,340909.43,1426.3992887029287,239
CUST04030,276779.78,1419.3834871794872,195
CUST06281,284383.63,1407.8397524752475,202
CUST01848,274509.28,1460.1557446808513,188
CUST03066,277063.28,1325.6616267942586,209
CUST04250,224305.91,1281.748057142857,175
CUST01031,266044.24,1249.0339906103286,213
CUST05807,300054.68,1478.1018719211822,203
CUST03136,341628.33999999997,1559.9467579908674,219
CUST06805,220650.55,1337.2760606060606,165
CUST01671,259435.32,1344.2244559585492,193
CUST04339,294480.6,1382.538028169014,213
CUST02260,287481.67,1337.1240465116277,215
CUST05313,290129.41,1443.4299004975123,201
CUST08912,256808.56,1252.7246829268292,205
CUST04689,293786.38,1440.1293137254902,204
CUST04204,299948.95,1442.0622596153846,208
CUST09576,277819.51,1477.7633510638298,188
CUST07725,216756.98,1329.7974233128834,163
CUST08710,259215.45,1302.5902010050252,199
CUST00172,259426.01,1337.2474742268041,194
CUST06332,292889.06,1449.9458415841584,202
CUST09738,268745.12,1317.3780392156862,204
CUST03626,294245.92,1414.643846153846,208
CUST01631,306890.07,1504.363088235294,204
CUST05354,274058.58,1450.045396825397,189
CUST05880,239898.86,1347.746404494382,178
CUST04086,304311.55,1311.6877155172413,232
CUST03150,272888.5,1392.2882653061224,196
CUST00920,270806.33,1432.837724867725,189
CUST00329,300928.47,1527.5556852791876,197
CUST01936,257761.85,1408.5346994535519,183
CUST05290,303823.51,1519.11755,200
CUST04492,249578.13,1229.4489162561576,203
CUST09977,294392.97,1422.188260869565,207
CUST02673,284964.33,1484.18921875,192
CUST04438,270150.4,1227.9563636363637,220
CUST05219,252019.64,1247.6219801980199,202
CUST06711,284766.86,1423.8343,200
CUST07920,307863.31,1531.6582587064677,201
CUST05469,281758.78,1408.7939000000001,200
CUST04246,277783.5,1462.0184210526315,190
CUST08377,246294.99,1310.0797340425531,188
CUST06047,295706.14,1449.5399019607844,204
CUST06499,319142.82,1387.5774782608696,230
CUST09461,265204.08999999997,1306.4240886699506,203
CUST04921,290700.18,1446.269552238806,201
CUST03334,283376.33,1475.9183854166668,192
CUST03421,265154.54,1339.1643434343434,198
CUST05605,261940.34,1393.2996808510638,188
CUST07749,270664.59,1360.123567839196,199
CUST05221,321406.83,1560.2273300970874,206
CUST05831,297089.77,1470.7414356435645,202
CUST08885,280367.41000000003,1262.9162612612613,222
CUST04302,280818.69,1397.1079104477612,201
CUST06395,303998.05,1388.1189497716894,219
CUST04182,290641.82,1438.820891089109,202
CUST07641,266239.08,1318.0152475247526,202
CUST09275,259784.51,1292.460248756219,201
CUST00808,254007.86000000002,1365.6336559139786,186
CUST08999,304553.89,1390.6570319634704,219
CUST04091,303223.66,1547.0594897959181,196
CUST04355,332879.97000000003,1499.4593243243244,222
CUST08361,256444.79,1328.729481865285,193
CUST08597,254281.28,1310.7282474226804,194
CUST06129,285942.88,1401.6807843137256,204
CUST03220,268302.42,1302.4389320388348,206
CUST03850,307544.63,1437.1244392523365,214
CUST08480,305695.46,1483.9585436893205,206
CUST07620,307411.36,1470.867751196172,209
CUST07879,292736.77,1393.9846190476192,210
CUST04090,310513.0,1464.683962264151,212
CUST05674,352415.07,1426.7816599190285,247
CUST08437,295610.01,1435.0000485436894,206
CUST03738,306640.2,1304.851914893617,235
CUST06695,269365.0,1367.3350253807107,197
CUST07812,285857.09,1415.1341089108912,202
CUST06042,319596.47000000003,1507.5305188679247,212
CUST08620,292899.36,1471.85608040201,199
CUST02120,281076.02,1377.8236274509804,204
CUST06411,282435.44,1344.9306666666666,210
CUST07870,253226.56,1266.1328,200
CUST04815,291784.63,1396.0987081339713,209
CUST06355,247462.07,1352.2517486338797,183
CUST06353,265711.18,1253.3546226415094,212
CUST04562,328518.65,1397.9517021276597,235
CUST02648,272777.47,1406.0694329896905,194
CUST08780,301601.03,1358.5631981981983,222
CUST05554,316690.81,1500.9043127962086,211
CUST04398,290564.47000000003,1396.9445673076925,208
CUST01525,245543.31,1306.0814361702128,188
CUST02859,232064.63,1333.7047701149424,174
CUST00774,247661.96,1270.0613333333333,195
CUST01080,317798.48,1438.0021719457013,221
CUST02406,279210.06,1439.2271134020618,194
CUST06709,290919.25,1447.3594527363184,201
CUST07101,306909.44,1582.0074226804124,194
CUST08843,275391.14,1349.9565686274511,204
CUST08015,280468.33,1381.6173891625617,203
CUST06383,325257.13,1505.8200462962964,216
CUST00723,309837.63,1364.9234801762116,227
CUST03658,245695.21,1266.4701546391752,194
CUST02159,309175.41,1451.527746478873,213
CUST06477,291765.81,1437.27,203
CUST03522,328954.02,1430.2348695652174,230
CUST08030,262581.06,1312.9053,200
CUST04325,259890.46,1367.8445263157894,190
CUST08085,267100.74,1335.5037,200
CUST08269,266627.6,1395.9560209424083,191
CUST04008,283015.17,1401.065198019802,202
CUST06375,258654.81,1293.27405,200
CUST07109,283283.06,1361.9377884615385,208
CUST03328,240983.57,1346.2769273743017,179
CUST04054,300175.05,1531.505357142857,196
CUST01881,259443.67,1297.21835,200
CUST03079,270693.27,1346.7326865671644,201
CUST05039,278922.77,1415.8516243654824,197
CUST09979,285831.42,1317.1954838709676,217
CUST06761,262174.85,1379.8676315789473,190
CUST06276,310056.28,1415.782100456621,219
CUST02541,296535.79000000004,1392.1868075117372,213
CUST00874,268766.69,1244.2902314814814,216
CUST05812,315071.54,1451.9425806451611,217
CUST00087,273474.54,1367.3727,200
CUST06740,252526.5,1308.4274611398964,193
CUST06151,292822.39,1421.4679126213593,206
CUST01452,273462.42,1416.903730569948,193
CUST07516,280377.64,1452.7338860103628,193
CUST08465,247977.34000000003,1284.856683937824,193
CUST09166,265924.0,1214.2648401826484,219
CUST02507,275012.75,1303.3779620853081,211
CUST09373,251491.87,1337.7227127659573,188
CUST06508,275783.99,1421.5669587628865,194
CUST07755,281334.19,1399.6725870646767,201
CUST05507,283265.91000000003,1311.4162500000002,216
CUST04189,273678.99,1410.7164432989691,194
CUST09295,284716.22,1312.056313364055,217
CUST00116,240851.85,1294.9024193548387,186
CUST04886,259287.57,1246.574855769231,208
CUST01632,264339.56,1391.2608421052632,190
CUST06527,272630.17,1457.9153475935827,187
CUST05708,259508.1,1425.8686813186814,182
CUST01246,247164.71,1199.8286893203883,206
CUST07907,281951.66000000003,1287.4505022831052,219
CUST07841,229070.09,1279.7211731843574,179
CUST09447,285552.74,1359.7749523809523,210
CUST07495,255416.94,1210.5068246445499,211
CUST08762,253998.88,1302.558358974359,195
CUST06186,267192.39,1342.675326633166,199
CUST07662,315905.42,1442.490502283105,219
CUST05414,270874.39,1340.9623267326733,202
CUST01180,310628.01,1380.5689333333335,225
CUST02210,244922.97,1399.5598285714286,175
CUST05177,267951.38,1367.0988775510205,196
CUST00236,268780.3,1298.4555555555555,207
CUST05820,270892.56,1375.0891370558375,197
CUST06763,256485.0,1315.3076923076924,195
CUST06464,284253.72,1465.2253608247422,194
CUST09453,292938.24,1368.8702803738317,214
CUST02151,312877.49,1533.7131862745098,204
CUST07929,263667.65,1318.33825,200
CUST06103,256402.48,1314.8845128205128,195
CUST02582,252870.57,1532.548909090909,165
CUST01458,286848.82,1372.4823923444976,209
CUST02350,287073.76,1435.3688,200
CUST05287,260379.87,1430.6586263736262,182
CUST09475,293275.61,1357.7574537037037,216
CUST03887,278279.23,1344.344106280193,207
CUST09306,270319.61,1386.2544102564102,195
CUST01727,332033.0,1544.339534883721,215
CUST01386,329933.02,1453.4494273127755,227
CUST08662,259761.92,1435.148729281768,181
CUST04113,289226.13,1530.2969841269842,189
CUST01972,281003.64,1463.560625,192
CUST04532,275485.39,1405.5377040816327,196
CUST05907,289220.57,1554.9493010752687,186
CUST06272,296236.15,1459.2913793103448,203
CUST09896,243152.93,1343.3863535911603,181
CUST01619,259463.33000000002,1241.4513397129188,209
CUST02827,321502.5,1516.5212264150944,212
CUST07765,250174.7,1309.8151832460733,191
CUST05531,252476.88,1364.7398918918918,185
CUST07982,292178.1,1475.6469696969696,198
CUST02444,254030.69,1316.2211917098446,193
CUST08432,267971.83,1326.5932178217822,202
CUST07967,298059.79,1373.5474193548387,217
CUST01151,264905.45,1311.4131188118813,202
CUST04449,291988.44,1383.8314691943128,211
CUST02622,255984.42,1462.7681142857143,175
CUST08100,277556.7,1453.176439790576,191
CUST01146,251729.28,1383.1279120879121,182
CUST04843,288110.09,1433.3835323383087,201
CUST02610,261252.79,1382.2898941798942,189
CUST08356,316207.95,1477.6072429906542,214
CUST08464,298257.15,1469.2470443349755,203
CUST08636,263043.16,1453.277127071823,181
CUST08397,300575.74,1466.2231219512194,205
CUST06635,256695.69,1365.4026063829788,188
CUST06561,295330.69,1462.0331188118812,202
CUST07307,274549.88,1339.2677073170732,205
CUST06518,261718.88,1206.0777880184332,217
CUST03907,283966.7,1426.9683417085428,199
CUST07314,235136.52000000002,1306.314,180
CUST09002,280914.36,1350.5498076923077,208
CUST00105,301235.7,1441.319138755981,209
CUST05914,256243.75,1180.8467741935483,217
CUST05370,317260.56,1503.6045497630332,211
CUST07180,257129.81,1332.2788082901554,193
CUST05825,284165.34,1386.1723902439026,205
CUST02086,328939.56,1537.1007476635514,214
CUST02378,268010.41000000003,1480.7204972375691,181
CUST05785,272432.98,1382.9085279187816,197
CUST06046,310168.44,1416.2942465753424,219
CUST08459,292545.89,1564.4165240641712,187
CUST01946,269570.65,1314.978780487805,205
CUST00029,271345.82,1391.5170256410256,195
CUST08971,251899.59,1305.1792227979274,193
CUST01283,285979.97,1388.252281553398,206
CUST00448,236447.58000000002,1343.4521590909092,176
CUST08034,283643.37,1357.1453110047846,209
CUST02493,316632.74,1419.8777578475335,223
CUST09660,270826.92,1381.77,196
CUST07138,224760.78,1221.5259782608696,184
CUST05042,304488.7,1443.0744075829384,211
CUST05888,278110.87,1350.0527669902913,206
CUST00511,277002.24,1413.2767346938774,196
CUST07787,285992.75,1361.8702380952382,210
CUST06935,258518.12,1375.0963829787233,188
CUST02472,301769.96,1443.8754066985648,209
CUST06671,269839.27,1362.824595959596,198
CUST09517,268873.22,1286.4747368421051,209
CUST05788,238043.92,1337.325393258427,178
CUST08814,320426.58,1563.056487804878,205
CUST03567,321578.18,1632.3765482233503,197
CUST08146,243410.28,1322.881956521739,184
CUST04377,275404.55,1464.9178191489361,188
CUST07183,303433.66,1532.4932323232322,198
